id,model_type,arquitectura,clase,descargas,capas,ancho,cabezas,kv,ffn,vocab,rope,rmsnorm,glu,gqa,moe,params_entrada,params_bloque,params_predichos,params_reales
sentence-transformers/all-MiniLM-L6-v2,bert,BertModel,encoder_texto,253029336,6,384,12,12,1536,30522,0,0,0,0,0,11917824,10621440,22539264,22713728
camenduru/dinov3-vitl16-pretrain-lvd1689m,dinov3_vit,DINOv3ViTModel,encoder_texto,885754,24,1024,16,16,4096,0,1,0,0,0,0,988160,302039040,303027200,303129600
RedHatAI/gemma-4-31B-it-FP8-block,gemma4,Gemma4ForConditionalGeneration,multimodal,737234,60,5376,32,16,21504,262144,1,1,0,1,0,1410397824,19486685952,20897083776,31273088876
Qwen/Qwen3-0.6B-Base,qwen3,Qwen3ForCausalLM,lenguaje_denso,852011,28,1024,16,8,3072,151936,1,1,1,1,0,155582464,352378880,507961344,596049920
Qwen/Qwen2.5-VL-7B-Instruct-AWQ,qwen2_5_vl,Qwen2_5_VLForConditionalGeneration,multimodal,1826743,28,3584,28,4,18944,152064,1,1,1,1,0,1091229952,6525489152,7616719104,8292166656
prajjwal1/bert-tiny,,,encoder_texto,1453666,2,128,2,2,512,30522,0,0,0,0,0,3972608,393728,4366336,
openai/gpt-oss-120b,gpt_oss,GptOssForCausalLM,moe,5229370,36,2880,64,8,2880,201088,1,1,1,1,1,1158266880,115347110400,116505377280,116829156672
trl-internal-testing/tiny-Qwen3MoeForCausalLM,qwen3_moe,Qwen3MoeForCausalLM,moe,706023,2,8,4,2,32,151936,1,1,1,1,1,2430976,147936,2578912,2603624
deepseek-ai/DeepSeek-V4-Flash,deepseek_v4,DeepseekV4ForCausalLM,moe,1757120,,,,,,,1,1,1,1,1,,,,290944616402
amazon/chronos-bolt-small,t5,ChronosBoltModelForForecasting,encoder_texto,8127664,,,,,,,0,0,0,0,0,,,,47718016
biohub/ESMC-6B,esmc,ESMCForMaskedLM,encoder_texto,2204289,,,,,,,0,0,0,0,0,,,,6352005184
openai/whisper-tiny,whisper,WhisperForConditionalGeneration,encoder_texto,1565180,,,,,,,0,0,0,0,0,,,,37760640
openai/gpt-oss-20b,gpt_oss,GptOssForCausalLM,moe,6522380,24,2880,64,8,2880,201088,1,1,1,1,1,1158266880,19560545280,20718812160,20914757184
openai-community/gpt2,gpt2,GPT2LMHeadModel,encoder_texto,14612342,,,,,,,0,0,0,0,0,,,,137022720
unsloth/Qwen3.6-27B-NVFP4,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,2686672,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,21232361056
Qwen/Qwen2.5-1.5B,qwen2,Qwen2ForCausalLM,lenguaje_denso,1075947,28,1536,12,2,8960,151936,1,1,1,1,0,233373696,1310281728,1543655424,1543714304
coqui/XTTS-v2,,,encoder_texto,7370755,,,,,,,0,0,0,0,0,,,,
HuggingFaceTB/SmolLM2-135M,llama,LlamaForCausalLM,lenguaje_denso,2563448,30,576,9,3,1536,49152,1,1,1,1,0,28311552,106202880,134514432,134515008
theainerd/Wav2Vec2-large-xlsr-hindi,wav2vec2,Wav2Vec2ForCTC,audio,1620435,24,1024,16,16,4096,64,0,0,0,0,0,65536,302039040,302104576,315504320
dropbox-dash/faster-whisper-large-v3-turbo,,,encoder_texto,1317042,,,,,,,0,0,0,0,0,,,,
facebook/dinov2-large,dinov2,Dinov2Model,vision,730617,,,,,,,0,0,0,0,0,,,,304368640
unsloth/Qwen3.8-27B-NVFP4,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,3105371,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,19869895952
facebook/wav2vec2-base,wav2vec2,Wav2Vec2ForPreTraining,audio,3022106,12,768,12,12,3072,32,0,0,0,0,0,24576,84953088,84977664,
unsloth/gemma-4-26B-A4B-it-GGUF,gemma4,Gemma4ForConditionalGeneration,moe,699026,30,2816,16,8,2112,262144,1,1,0,1,1,739309184,16361125632,17100434816,
Qwen/Qwen3-VL-8B-Instruct,qwen3_vl,Qwen3VLForConditionalGeneration,multimodal,13859514,36,4096,32,8,12288,151936,1,1,1,1,0,1245771392,6946062336,8191833728,8767123696
Systran/faster-whisper-small,,,encoder_texto,2272101,,,,,,,0,0,0,0,0,,,,
openai/whisper-small,whisper,WhisperForConditionalGeneration,encoder_texto,3031713,,,,,,,0,0,0,0,0,,,,241734912
llava-hf/llava-1.5-7b-hf,llava,LlavaForConditionalGeneration,multimodal,1947570,,,,,,,0,1,0,0,0,,,,7063427072
cross-encoder/ms-marco-MiniLM-L2-v2,bert,BertForSequenceClassification,encoder_texto,809191,2,384,12,12,1536,30522,0,0,0,0,0,11917824,3540480,15458304,15616257
jonatasgrosman/wav2vec2-large-xlsr-53-polish,wav2vec2,Wav2Vec2ForCTC,audio,4101201,24,1024,16,16,4096,40,0,0,0,0,0,40960,302039040,302080000,
EleutherAI/pythia-160m,gpt_neox,GPTNeoXForCausalLM,lenguaje_denso,3438976,12,768,12,12,3072,50304,0,0,0,0,0,78839808,84953088,163792896,212654688
softcatala/wav2vec2-large-xlsr-catala,wav2vec2,Wav2Vec2ForCTC,audio,869775,24,1024,16,16,4096,42,0,0,0,0,0,43008,302039040,302082048,
Qwen/Qwen2.5-14B-Instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,2655159,48,5120,40,8,13824,152064,1,1,1,1,0,1557135360,13212549120,14769684480,14770033664
lmstudio-community/Qwen3.8-27B-MLX-4bit,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,3666212,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27356728560
intfloat/multilingual-e5-base,xlm-roberta,XLMRobertaModel,encoder_texto,6834725,12,768,12,12,3072,250002,0,0,0,0,0,192397056,84953088,277350144,278044162
NbAiLab/nb-wav2vec2-1b-nynorsk,wav2vec2,Wav2Vec2ForCTC,audio,1392818,48,1280,16,16,5120,34,0,0,0,0,0,43520,943841280,943884800,962540962
sentence-transformers/distiluse-base-multilingual-cased-v1,distilbert,DistilBertModel,encoder_texto,1012518,,,,,,,0,0,0,0,0,,,,134734080
zai-org/GLM-5.2-FP8,glm_moe_dsa,GlmMoeDsaForCausalLM,moe,1316966,78,6144,64,64,12288,154880,1,1,1,0,1,1903165440,765668007936,767571173376,753329940480
CIDAS/clipseg-rd64-refined,clipseg,CLIPSegForImageSegmentation,multimodal,1239226,12,512,8,8,2048,49408,0,0,0,0,0,26077440,122714112,148791552,150748019
Qwen/Qwen2.5-VL-3B-Instruct,qwen2_5_vl,Qwen2_5_VLForConditionalGeneration,multimodal,3197495,36,2048,16,2,11008,151936,1,1,1,1,0,312246528,2774679552,3086926080,3754622976
Qdrant/bge-small-en-v1.5-onnx-Q,bert,BertModel,encoder_texto,1014920,12,384,12,12,1536,30522,0,0,0,0,0,11917824,21242880,33160704,
almanach/camembert-base,camembert,CamembertForMaskedLM,encoder_texto,916312,12,768,12,12,3072,32005,0,0,0,0,0,24975360,84953088,109928448,111246085
rhasspy/faster-whisper-base-int8,,,encoder_texto,714235,,,,,,,0,0,0,0,0,,,,
nvidia/Qwen3.5-122B-A10B-NVFP4,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,moe,1099686,,,,,,,1,1,1,1,1,,,,64580759280
Yehor/w2v-xls-r-uk,wav2vec2,Wav2Vec2ForCTC,audio,1073780,24,1024,16,16,4096,40,0,0,0,0,0,40960,302039040,302080000,315479720
nvidia/Gemma-4-26B-A4B-NVFP4,gemma4,Gemma4ForConditionalGeneration,moe,1668414,30,2816,16,8,2112,262144,1,1,0,1,1,739309184,16361125632,17100434816,14386941232
google/siglip2-base-patch16-naflex,siglip2,Siglip2Model,multimodal,840163,,,,,,,0,0,0,0,0,,,,375234050
Qwen/Qwen-72B,qwen,QWenLMHeadModel,encoder_texto,3817054,80,8192,64,64,49152,152064,1,0,0,0,0,2491416576,85900656640,88392073216,72287920128
Qwen/Qwen3.5-2B,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,2537301,24,2048,8,2,6144,248320,1,1,1,1,0,509547520,1157726208,1667273728,2274069824
mistralai/Voxtral-Mini-4B-Realtime-2602,voxtral_realtime,VoxtralRealtimeForConditionalGeneration,multimodal,2247058,26,3072,32,8,9216,131072,1,1,1,1,0,402653184,2821877760,3224530944,4429679360
google-bert/bert-base-multilingual-cased,bert,BertForMaskedLM,encoder_texto,1793384,12,768,12,12,3072,119547,0,0,0,0,0,92206848,84953088,177159936,178566653
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,qwen3_vl_moe,Qwen3VLMoeForConditionalGeneration,moe,1496289,48,2048,32,4,6144,151936,1,1,1,1,1,623441536,29456793600,30080235136,31070754032
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,nemotron_h,NemotronHForCausalLM,moe,1180900,52,2688,32,2,1856,131072,1,0,0,1,1,704643072,67229180928,67933824000,17820210764
timm/efficientnet_b3.ra2_in1k,,,encoder_texto,12098785,,,,,,,0,0,0,0,0,,,,12320528
E-MIMIC/inclusively-reformulation-it5,t5,T5ForConditionalGeneration,encoder_texto,2925550,,,,,,,0,0,0,0,0,,,,783098880
nguyenvulebinh/wav2vec2-base-vi-vlsp2020,wav2vec2,Wav2Vec2ForCTC,audio,1575031,12,768,12,12,3072,98,0,0,0,0,0,75264,84953088,85028352,
imvladikon/wav2vec2-xls-r-300m-hebrew,wav2vec2,Wav2Vec2ForCTC,audio,1533368,24,1024,16,16,4096,32,0,0,0,0,0,32768,302039040,302071808,315471520
sentence-transformers/all-mpnet-base-v2,mpnet,MPNetForMaskedLM,encoder_texto,24194833,12,768,12,12,3072,30527,0,0,0,0,0,23839488,84953088,108792576,109486978
facebook/bart-large-cnn,bart,BartForConditionalGeneration,encoder_texto,1309470,,,,,,,0,0,0,0,0,,,,406290432
Qwen/Qwen3-Coder-30B-A3B-Instruct,qwen3_moe,Qwen3MoeForCausalLM,moe,736011,48,2048,32,4,6144,151936,1,1,1,1,1,622329856,29456793600,30079123456,30532122624
ibm-granite/granite-embedding-small-english-r2,modernbert,ModernBertModel,encoder_texto,6183552,12,384,12,12,1536,50368,0,0,0,0,0,19341312,21242880,40584192,47662464
unsloth/gemma-4-26B-A4B-it-qat-GGUF,gemma4,Gemma4ForConditionalGeneration,moe,698731,30,2816,16,8,2112,262144,1,1,0,1,1,739309184,16361125632,17100434816,
facebook/dinov2-base,dinov2,Dinov2Model,vision,2985688,,,,,,,0,0,0,0,0,,,,86580480
Qwen/Qwen3-VL-8B-Instruct-FP8,qwen3_vl,Qwen3VLForConditionalGeneration,multimodal,2343088,36,4096,32,8,12288,151936,1,1,1,1,0,1245771392,6946062336,8191833728,8767547632
jinaai/jina-embeddings-v3,,XLMRobertaModel,encoder_texto,2332175,24,1024,16,16,4096,250002,1,0,0,0,0,256002048,302039040,558041088,572310396
intfloat/multilingual-e5-large-instruct,xlm-roberta,XLMRobertaModel,encoder_texto,1995557,24,1024,16,16,4096,250002,0,0,0,0,0,256529408,302039040,558568448,559890432
intfloat/e5-large-v2,bert,BertModel,encoder_texto,1847537,24,1024,16,16,4096,30522,0,0,0,0,0,31780864,302039040,333819904,335142400
google/diffusiongemma-26B-A4B-it,diffusion_gemma,DiffusionGemmaForBlockDiffusion,moe,1093271,30,2816,16,8,2112,262144,1,1,0,1,1,739309184,16361125632,17100434816,25823778864
Qwen/Qwen3.5-2B-Base,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,1006968,24,2048,8,2,6144,248320,1,1,1,1,0,509547520,1157726208,1667273728,2274069824
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,qwen2,Qwen2ForCausalLM,lenguaje_denso,1444917,64,5120,40,8,27648,152064,1,1,1,1,0,1557135360,31206277120,32763412480,32763876352
Qwen/Qwen3-4B-Base,qwen3,Qwen3ForCausalLM,lenguaje_denso,1976108,36,2560,32,8,9728,151936,1,1,1,1,0,388956160,3279605760,3668561920,4022468096
cyankiwi/Qwen3.5-4B-AWQ-4bit,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,728472,32,2560,16,4,9216,248320,1,1,1,1,0,636687360,2789376000,3426063360,4774635422
baidu/Unlimited-OCR,unlimited-ocr,UnlimitedOCRForCausalLM,moe,2763156,12,1280,10,10,6848,129280,0,0,0,0,1,213648640,1841264640,2054913280,3336106240
MahmoudAshraf/mms-300m-1130-forced-aligner,wav2vec2,Wav2Vec2ForCTC,audio,2611892,24,1024,16,16,4096,31,0,0,0,0,0,31744,302039040,302070784,315469471
kredor/punctuate-all,xlm-roberta,XLMRobertaForTokenClassification,encoder_texto,755608,12,768,12,12,3072,250002,0,0,0,0,0,192397056,84953088,277350144,
Qwen/Qwen3.6-27B,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,5123849,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27781427952
ornith-ai/Ornith-1.0-35B,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,moe,2918927,,,,,,,1,1,1,1,1,,,,664944
QuantTrio/Qwen3.5-9B-AWQ,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,1081141,32,4096,16,4,12288,248320,1,1,1,1,0,2035349120,6174277632,8209626752,9653104368
Qwen/Qwen3-VL-Embedding-2B,qwen3_vl,Qwen3VLForConditionalGeneration,multimodal,1365595,28,2048,16,8,6144,151936,1,1,1,1,0,312153088,1409400832,1721553920,2127532032
facebook/wav2vec2-base-960h,wav2vec2,Wav2Vec2ForCTC,audio,1329423,12,768,12,12,3072,32,0,0,0,0,0,24576,84953088,84977664,94395552
sentence-transformers/paraphrase-mpnet-base-v2,mpnet,MPNetModel,encoder_texto,1891257,12,768,12,12,3072,30527,0,0,0,0,0,23839488,84953088,108792576,109486978
allenai/longformer-base-4096,longformer,,encoder_texto,977867,12,768,12,12,3072,50265,0,0,0,0,0,41751552,84953088,126704640,
Qwen/Qwen2.5-Coder-14B-Instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,1919973,48,5120,40,8,13824,152064,1,1,1,1,0,1557135360,13212549120,14769684480,14770033664
Systran/faster-whisper-large-v3,,,encoder_texto,1144041,,,,,,,0,0,0,0,0,,,,
facebook/musicgen-medium,musicgen,MusicgenForConditionalGeneration,encoder_texto,1937648,,,,,,,0,0,0,0,0,,,,
Qwen/Qwen3.6-35B-A3B-FP8,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,moe,12900333,,,,,,,1,1,1,1,1,,,,35953925552
nvidia/parakeet-ctc-1.1b,parakeet_ctc,ParakeetForCTC,encoder_texto,1303322,,,,,,,0,0,0,0,0,,,,1062626305
Qwen/Qwen3-8B,qwen3,Qwen3ForCausalLM,lenguaje_denso,13209969,36,4096,32,8,12288,151936,1,1,1,1,0,1244659712,6946062336,8190722048,8190735360
Qwen/Qwen2.5-VL-32B-Instruct,qwen2_5_vl,Qwen2_5_VLForConditionalGeneration,multimodal,1403838,64,5120,40,8,27648,152064,1,1,1,1,0,1558370560,31206277120,32764647680,33452718336
Qwen/Qwen2.5-0.5B,qwen2,Qwen2ForCausalLM,lenguaje_denso,1688938,24,896,14,2,4864,151936,1,1,1,1,0,136134656,357869568,494004224,494032768
google-bert/bert-base-cased,bert,BertForMaskedLM,encoder_texto,3654692,12,768,12,12,3072,28996,0,0,0,0,0,22663680,84953088,107616768,108932934
deepseek-ai/deepseek-coder-7b-instruct-v1.5,llama,LlamaForCausalLM,lenguaje_denso,780570,30,4096,32,32,11008,102400,1,1,1,0,0,838860800,6071500800,6910361600,6910365696
indonesian-nlp/wav2vec2-indonesian-javanese-sundanese,wav2vec2,Wav2Vec2ForCTC,audio,3668975,24,1024,16,16,4096,30,0,0,0,0,0,30720,302039040,302069760,
sshleifer/distilbart-cnn-12-6,bart,BartForConditionalGeneration,encoder_texto,867775,,,,,,,0,0,0,0,0,,,,
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,bert,BertModel,encoder_texto,1404161,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,109482752
ReliquaryForge/qwen3-4b-base-dapo-v4,qwen3,Qwen3ForCausalLM,lenguaje_denso,877813,36,2560,32,8,9728,151936,1,1,1,1,0,388956160,3279605760,3668561920,4022468096
autogluon/mitra-regressor,,,encoder_texto,1343097,,,,,,,0,0,0,0,0,,,,75661313
google/electra-base-discriminator,electra,ElectraForPreTraining,encoder_texto,58408339,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,
nvidia/parakeet-tdt-0.6b-v3,parakeet_tdt,ParakeetForTDT,encoder_texto,758937,,,,,,,0,0,0,0,0,,,,627057286
jonatasgrosman/wav2vec2-large-xlsr-53-finnish,wav2vec2,Wav2Vec2ForCTC,audio,1435380,24,1024,16,16,4096,34,0,0,0,0,0,34816,302039040,302073856,
answerdotai/ModernBERT-large,modernbert,ModernBertForMaskedLM,encoder_texto,1443549,28,1024,16,16,2624,50368,0,0,0,0,0,59965440,267968512,327933952,395881664
Leo97/KoELECTRA-small-v3-modu-ner,electra,ElectraForTokenClassification,encoder_texto,792219,12,256,4,4,1024,35000,0,0,0,0,0,9091584,9443328,18534912,14064671
BAAI/bge-large-en-v1.5,bert,BertModel,encoder_texto,13296778,24,1024,16,16,4096,30522,0,0,0,0,0,31780864,302039040,333819904,335142400
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,smolvlm,SmolVLMForConditionalGeneration,multimodal,1459822,32,960,15,5,2560,49280,1,1,0,1,0,95994624,235991040,331985664,507482304
colbert-ir/colbertv2.0,bert,HF_ColBERT,encoder_texto,2517729,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,109581056
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,xlm-roberta,XLMRobertaModel,encoder_texto,9362353,12,768,12,12,3072,250002,0,0,0,0,0,192397056,84953088,277350144,278044162
mlx-community/parakeet-tdt-0.6b-v3,,,encoder_texto,1759170,,,,,,,0,0,0,0,0,,,,627052166
EleutherAI/gpt-neox-20b,gpt_neox,GPTNeoXForCausalLM,lenguaje_denso,741510,44,6144,64,64,24576,50432,0,0,0,0,0,632291328,19931873280,20564164608,20739117584
Lorbus/Qwen3.6-27B-int4-AutoRound,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,888893,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,6284446960
microsoft/mdeberta-v3-base,deberta-v2,,encoder_texto,4188993,12,768,12,12,3072,251000,0,0,0,0,0,193161216,84953088,278114304,
jhgan/ko-sroberta-multitask,roberta,RobertaModel,encoder_texto,814884,12,768,12,12,3072,32000,0,0,0,0,0,24971520,84953088,109924608,110618626
ornith-ai/Ornith-1.0-9B,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,1585573,32,4096,16,4,12288,248320,1,1,1,1,0,2035349120,6174277632,8209626752,1469680
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,nemotron_h,NemotronHForCausalLM,moe,862841,52,2688,32,2,1856,131072,1,0,0,1,1,704643072,67229180928,67933824000,31577937344
emilyalsentzer/Bio_ClinicalBERT,bert,,encoder_texto,2197624,12,768,12,12,3072,28996,0,0,0,0,0,22663680,84953088,107616768,
Inferact/Qwen3.8-27B-NVFP4,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,943300,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,17631212272
laion/clap-htsat-unfused,clap,ClapModel,multimodal,900041,12,768,12,12,3072,50265,0,0,0,0,0,38999040,84953088,123952128,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,distilbert,DistilBertForSequenceClassification,encoder_texto,965333,,,,,,,0,0,0,0,0,,,,135326979
Qwen/Qwen2.5-3B-Instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,6815899,36,2048,16,2,11008,151936,1,1,1,1,0,311164928,2774679552,3085844480,3085938688
microsoft/table-transformer-structure-recognition,table-transformer,TableTransformerForObjectDetection,encoder_texto,1158076,,,,,,,0,0,0,0,0,,,,28847819
nomic-ai/nomic-embed-text-v2-moe,nomic_bert,NomicBertModel,moe,2279400,12,768,12,12,3072,250048,0,0,0,0,1,192036864,481388544,673425408,475292928
Qwen/Qwen3.5-35B-A3B,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,moe,2357238,,,,,,,1,1,1,1,1,,,,35951822704
depth-anything/Depth-Anything-V2-Small-hf,depth_anything,DepthAnythingForDepthEstimation,encoder_texto,1822342,,,,,,,0,0,0,0,0,,,,24785089
Qwen/Qwen2.5-14B-Instruct-AWQ,qwen2,Qwen2ForCausalLM,lenguaje_denso,2152810,48,5120,40,8,13824,152064,1,1,1,1,0,1557135360,13212549120,14769684480,14770033664
google/vit-base-patch16-224-in21k,vit,ViTModel,vision,1288960,12,768,12,12,3072,0,0,0,0,0,0,741120,84953088,85694208,86389248
cross-encoder/ms-marco-MiniLM-L12-v2,bert,BertForSequenceClassification,encoder_texto,1668138,12,384,12,12,1536,30522,0,0,0,0,0,11917824,21242880,33160704,33360897
Qwen/Qwen2-VL-7B-Instruct-AWQ,qwen2_vl,Qwen2VLForConditionalGeneration,multimodal,1638449,28,3584,28,4,18944,152064,1,1,1,1,0,1093023232,6525489152,7618512384,8291375616
jinaai/jina-bert-flash-implementation,bert,,encoder_texto,743627,12,768,12,12,3072,30528,0,0,0,0,0,23445504,84953088,108398592,
allenai/OLMo-2-0425-1B,olmo2,Olmo2ForCausalLM,lenguaje_denso,1071912,16,2048,16,16,8192,100352,1,1,1,0,0,411041792,1073807360,1484849152,1484916736
Harveenchadha/vakyansh-wav2vec2-tamil-tam-250,wav2vec2,Wav2Vec2ForCTC,audio,1716345,12,768,12,12,3072,53,0,0,0,0,0,40704,84953088,84993792,
hustvl/vitmatte-small-composition-1k,vitmatte,VitMatteForImageMatting,encoder_texto,859657,,,,,,,0,0,0,0,0,,,,25816417
Qwen/Qwen3.8-27B,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,6190807,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27781427952
Qwen/Qwen3.8-27B-FP8,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,6610521,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27781427952
FacebookAI/roberta-large,roberta,RobertaForMaskedLM,encoder_texto,6282808,24,1024,16,16,4096,50265,0,0,0,0,0,51998720,302039040,354037760,355412571
Qwen/Qwen3-TTS-12Hz-0.6B-CustomVoice,qwen3_tts,Qwen3TTSForConditionalGeneration,encoder_texto,1080263,,,,,,,0,0,0,0,0,,,,905788672
PaddlePaddle/PP-DocLayoutV3_safetensors,pp_doclayout_v3,PPDocLayoutV3ForObjectDetection,encoder_texto,908926,,,,,,,0,0,1,0,0,,,,33288957
lmstudio-community/gemma-4-E4B-it-MLX-4bit,gemma4,Gemma4ForConditionalGeneration,multimodal,1174910,42,2560,8,2,10240,262144,1,1,0,1,0,671829760,3003623424,3675453184,7996156490
amazon/chronos-bolt-tiny,t5,ChronosBoltModelForForecasting,encoder_texto,1004021,,,,,,,0,0,0,0,0,,,,8652672
Qwen/Qwen3-14B,qwen3,Qwen3ForCausalLM,lenguaje_denso,1734782,40,5120,40,8,17408,151936,1,1,1,1,0,1555824640,13212467200,14768291840,14768307200
distilbert/distilbert-base-uncased,distilbert,DistilBertForMaskedLM,encoder_texto,7054316,,,,,,,0,0,0,0,0,,,,66985530
google/siglip2-giant-opt-patch16-384,siglip,,multimodal,2562837,27,1152,16,16,4304,256000,0,0,0,0,0,296977920,1543717632,1840695552,1871885426
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,wav2vec2,Wav2Vec2ForCTC,audio,13548434,24,1024,16,16,4096,2341,0,0,0,0,0,2397184,302039040,304436224,
CompVis/stable-diffusion-safety-checker,clip,SafetyChecker,multimodal,975072,12,768,12,12,3072,49408,0,0,0,0,0,38869760,386992128,425861888,
Qwen/Qwen3-Embedding-8B,qwen3,Qwen3ForCausalLM,lenguaje_denso,2200536,36,4096,32,8,12288,151665,1,1,1,1,0,1242439680,6946062336,8188502016,7567295488
moonshotai/Kimi-K3,kimi_k3,KimiK3ForConditionalGeneration,moe,2460430,93,7168,96,96,33792,163840,0,1,0,0,1,9871059968,3689407862784,3699278922752,2779931837184
NeoQuasar/Kronos-small,,,encoder_texto,1210317,,,,,,,0,0,0,0,0,,,,24741696
eddiegulay/wav2vec2-large-xlsr-mvc-swahili,wav2vec2,Wav2Vec2ForCTC,audio,987722,24,1024,16,16,4096,59,0,0,0,0,0,60416,302039040,302099456,315499195
nvidia/Gemma-4-31B-IT-NVFP4,gemma4,Gemma4ForConditionalGeneration,multimodal,1812977,60,5376,32,16,21504,262144,1,1,0,1,0,1410397824,19486685952,20897083776,20868591152
FacebookAI/xlm-roberta-base,xlm-roberta,XLMRobertaForMaskedLM,encoder_texto,21447845,12,768,12,12,3072,250002,0,0,0,0,0,192397056,84953088,277350144,278885778
microsoft/phi-2,phi,PhiForCausalLM,lenguaje_denso,1357008,32,2560,32,32,10240,51200,1,0,0,0,0,262144000,2516746240,2778890240,2779683840
autogluon/chronos-bolt-small,t5,ChronosBoltModelForForecasting,encoder_texto,6096987,,,,,,,0,0,0,0,0,,,,47718016
speechbrain/spkrec-ecapa-voxceleb,,,encoder_texto,2015901,,,,,,,0,0,0,0,0,,,,
cross-encoder/ms-marco-MiniLM-L4-v2,bert,BertForSequenceClassification,encoder_texto,6096198,4,384,12,12,1536,30522,0,0,0,0,0,11917824,7080960,18998784,19165185
